age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,weight
57,retired,married,secondary,no,3815,no,no,telephone,20,nov,90,2,-1,0,unknown,0,1
35,technician,single,tertiary,no,3552,no,no,cellular,21,nov,267,1,-1,0,unknown,0,1
35,services,divorced,secondary,no,221,yes,no,cellular,14,may,150,1,360,1,failure,0,1
46,unknown,single,unknown,no,63,no,no,unknown,19,jun,235,1,-1,0,unknown,0,1
32,admin.,divorced,secondary,no,1288,yes,no,cellular,12,may,286,1,-1,0,unknown,0,1
37,management,married,tertiary,no,0,yes,no,unknown,7,may,228,1,-1,0,unknown,0,1
38,technician,single,tertiary,no,369,no,no,cellular,7,aug,365,8,-1,0,unknown,0,1
32,services,single,secondary,no,6857,no,no,cellular,2,feb,216,1,-1,0,unknown,0,1
57,retired,married,primary,no,177,no,yes,cellular,21,jul,91,4,-1,0,unknown,0,1
48,admin.,married,primary,no,3644,yes,yes,telephone,31,jul,1039,9,-1,0,unknown,1,1
40,services,married,secondary,no,1291,no,yes,unknown,12,jun,138,1,-1,0,unknown,0,1
26,student,single,unknown,no,2503,no,no,cellular,30,apr,121,1,63,2,failure,0,1
34,admin.,married,tertiary,no,1636,yes,yes,cellular,6,sep,136,1,521,2,failure,0,1
53,housemaid,single,primary,no,1238,no,no,unknown,17,jun,23,3,-1,0,unknown,0,1
31,student,single,tertiary,no,64,no,no,cellular,17,mar,181,2,183,3,failure,0,1
44,admin.,divorced,secondary,no,2999,yes,no,cellular,14,may,717,1,-1,0,unknown,1,1
31,admin.,single,tertiary,no,355,yes,no,cellular,12,may,609,1,-1,0,unknown,1,1
52,blue-collar,single,secondary,no,1541,yes,no,unknown,14,may,243,1,-1,0,unknown,0,1
31,blue-collar,single,secondary,no,982,yes,no,cellular,14,may,182,1,-1,0,unknown,0,1
31,blue-collar,single,secondary,no,6982,yes,no,unknown,21,may,353,1,-1,0,unknown,0,1
61,retired,married,secondary,no,523,no,no,cellular,13,aug,211,3,183,4,success,1,1
31,management,single,tertiary,no,4509,yes,no,unknown,12,may,207,3,-1,0,unknown,0,1
38,housemaid,married,primary,no,21,no,no,cellular,26,aug,634,2,-1,0,unknown,0,1
40,blue-collar,married,secondary,no,4795,yes,no,cellular,17,apr,57,1,-1,0,unknown,0,1
34,admin.,married,tertiary,no,79,yes,no,cellular,5,aug,203,1,92,5,success,1,1
27,management,single,tertiary,no,212,yes,no,cellular,15,may,373,1,-1,0,unknown,0,1
60,technician,married,secondary,no,0,yes,no,telephone,24,jul,101,14,-1,0,unknown,0,1
41,management,single,secondary,no,1138,no,no,cellular,31,jul,283,18,-1,0,unknown,0,1
36,unemployed,married,tertiary,no,73,no,no,cellular,23,jul,172,2,-1,0,unknown,0,1
27,self-employed,single,tertiary,no,4574,no,no,cellular,12,aug,187,2,-1,0,unknown,0,1
34,blue-collar,single,secondary,no,375,yes,no,cellular,20,apr,55,1,-1,0,unknown,0,1
36,management,single,tertiary,no,1027,yes,no,cellular,4,jun,151,1,-1,0,unknown,0,1
64,retired,married,secondary,no,2031,no,no,cellular,13,nov,202,5,-1,0,unknown,0,1
48,blue-collar,married,secondary,no,4770,yes,yes,cellular,19,nov,616,2,-1,0,unknown,0,1
32,blue-collar,married,secondary,no,-103,yes,no,cellular,14,may,298,1,-1,0,unknown,0,1
50,entrepreneur,divorced,tertiary,no,315,no,no,cellular,12,jul,101,2,185,2,failure,0,1
27,blue-collar,married,secondary,no,556,yes,no,cellular,9,feb,11,7,-1,0,unknown,0,1
59,unemployed,married,primary,no,13836,no,no,telephone,20,nov,733,1,-1,0,unknown,0,1
35,self-employed,single,tertiary,no,935,yes,no,unknown,28,may,259,2,-1,0,unknown,0,1
44,services,divorced,secondary,no,0,no,yes,cellular,17,jul,275,17,-1,0,unknown,0,1
45,entrepreneur,married,tertiary,no,0,no,no,cellular,19,nov,416,2,-1,0,unknown,0,1
51,blue-collar,divorced,primary,no,-413,yes,no,unknown,29,may,331,4,-1,0,unknown,0,1
56,blue-collar,married,unknown,no,6710,no,no,cellular,29,jul,318,2,-1,0,unknown,0,1
43,technician,divorced,secondary,no,1326,no,no,cellular,26,aug,93,2,-1,0,unknown,0,1
49,management,divorced,tertiary,no,178,no,no,cellular,6,aug,174,2,-1,0,unknown,0,1
76,retired,married,secondary,no,2302,no,no,telephone,5,feb,110,1,87,2,failure,0,1
52,blue-collar,married,primary,no,-27,no,no,cellular,28,aug,51,8,-1,0,unknown,0,1
28,management,single,tertiary,no,9710,no,no,cellular,14,oct,786,2,-1,0,unknown,0,1
47,admin.,married,secondary,no,6703,no,no,cellular,14,aug,252,3,-1,0,unknown,0,1
38,management,married,unknown,no,3576,no,no,cellular,26,may,579,1,-1,0,unknown,1,1
51,blue-collar,married,primary,no,377,yes,no,telephone,3,feb,143,4,272,1,failure,0,1
37,services,married,secondary,no,343,yes,yes,cellular,7,jul,74,7,-1,0,unknown,0,1
43,blue-collar,married,primary,no,108,yes,yes,unknown,15,may,420,4,-1,0,unknown,0,1
34,unemployed,single,secondary,no,9,yes,no,unknown,14,may,153,2,-1,0,unknown,0,1
56,management,divorced,tertiary,yes,-1968,no,no,unknown,20,jun,60,3,-1,0,unknown,0,1
47,retired,divorced,secondary,no,0,no,no,unknown,19,jun,141,1,-1,0,unknown,0,1
43,blue-collar,married,primary,no,2598,no,no,cellular,5,may,272,2,-1,0,unknown,0,1
33,services,married,secondary,no,34,yes,yes,unknown,3,jun,161,1,-1,0,unknown,0,1
58,blue-collar,married,primary,no,42,yes,no,cellular,9,feb,96,6,264,3,failure,0,1
36,unemployed,divorced,primary,no,510,no,no,cellular,6,feb,258,2,-1,0,unknown,0,1
34,technician,married,secondary,no,1795,yes,no,cellular,29,aug,201,2,-1,0,unknown,0,1
27,blue-collar,single,secondary,no,5,yes,no,unknown,19,may,205,3,-1,0,unknown,0,1
32,blue-collar,married,primary,no,187,no,no,cellular,9,jul,91,1,-1,0,unknown,0,1
35,blue-collar,single,primary,no,1215,yes,no,unknown,15,may,597,1,-1,0,unknown,0,1
48,management,married,tertiary,no,11,yes,no,cellular,21,aug,102,9,-1,0,unknown,0,1
31,management,married,tertiary,no,197,yes,no,cellular,2,feb,105,1,-1,0,unknown,0,1
58,management,divorced,secondary,no,10180,no,no,cellular,3,mar,180,2,-1,0,unknown,1,1
38,management,married,secondary,no,1574,no,no,unknown,5,jun,636,1,-1,0,unknown,0,1
37,admin.,single,secondary,no,3049,yes,yes,unknown,29,may,153,1,-1,0,unknown,0,1
28,admin.,single,secondary,no,2290,yes,no,cellular,18,may,2301,1,-1,0,unknown,1,1
34,blue-collar,married,primary,no,267,yes,no,unknown,7,may,362,1,-1,0,unknown,0,1
49,entrepreneur,married,secondary,no,89,yes,no,cellular,12,may,351,1,-1,0,unknown,0,1
48,technician,married,secondary,no,658,no,no,cellular,5,feb,109,4,-1,0,unknown,0,1
35,management,married,tertiary,no,0,no,no,cellular,17,jul,127,5,-1,0,unknown,0,1
33,management,single,secondary,no,99,yes,no,unknown,26,may,160,11,-1,0,unknown,0,1
42,management,married,tertiary,no,157,yes,yes,cellular,28,jan,136,1,-1,0,unknown,0,1
37,management,married,tertiary,no,0,yes,no,cellular,21,nov,227,1,-1,0,unknown,0,1
36,management,married,secondary,no,1825,yes,no,cellular,14,may,24,1,346,1,failure,0,1
47,management,divorced,tertiary,no,8226,yes,no,cellular,30,jul,137,2,-1,0,unknown,0,1
34,blue-collar,married,secondary,no,2595,yes,yes,cellular,17,apr,126,1,336,2,other,0,1
51,blue-collar,married,tertiary,no,7816,yes,no,unknown,12,may,76,2,-1,0,unknown,0,1
26,management,married,tertiary,no,3360,yes,no,cellular,29,jan,774,1,-1,0,unknown,0,1
29,management,married,tertiary,no,1441,yes,no,cellular,4,feb,80,2,-1,0,unknown,1,1
26,blue-collar,married,secondary,yes,-82,yes,no,unknown,4,jun,23,2,-1,0,unknown,0,1
37,management,married,tertiary,no,0,no,no,cellular,4,aug,96,1,-1,0,unknown,0,1
58,technician,married,secondary,no,2073,no,no,unknown,2,jun,393,3,-1,0,unknown,0,1
57,technician,divorced,secondary,no,77,yes,yes,cellular,29,jan,168,3,246,2,failure,0,1
42,management,single,tertiary,no,4264,yes,no,unknown,28,may,882,1,-1,0,unknown,0,1
50,admin.,married,secondary,no,4117,no,no,cellular,21,nov,530,1,-1,0,unknown,1,1
31,admin.,single,secondary,no,410,no,no,cellular,25,oct,182,1,185,1,success,1,1
67,retired,married,tertiary,no,3810,no,no,cellular,21,oct,1206,1,-1,0,unknown,0,1
51,entrepreneur,married,secondary,no,2156,yes,no,cellular,25,jul,84,3,-1,0,unknown,0,1
31,self-employed,married,secondary,no,296,yes,yes,cellular,24,jul,171,1,-1,0,unknown,0,1
38,blue-collar,married,secondary,no,526,yes,yes,unknown,23,may,553,2,-1,0,unknown,0,1
40,blue-collar,married,secondary,no,72,yes,no,unknown,26,jun,110,3,-1,0,unknown,0,1
69,housemaid,married,primary,no,1080,no,no,cellular,22,apr,164,2,-1,0,unknown,0,1
54,technician,married,secondary,no,0,no,no,telephone,5,feb,744,3,-1,0,unknown,1,1
27,technician,single,secondary,no,842,no,no,cellular,30,jul,273,1,91,1,other,0,1
57,retired,married,unknown,no,1621,yes,no,unknown,19,jun,108,1,-1,0,unknown,0,1
55,management,married,tertiary,no,0,yes,yes,cellular,3,sep,187,2,-1,0,unknown,0,1
30,blue-collar,married,primary,no,1023,yes,no,unknown,21,may,168,3,-1,0,unknown,0,1
26,services,married,secondary,no,116,no,no,cellular,5,feb,319,2,-1,0,unknown,0,1
77,retired,married,tertiary,no,7802,no,no,telephone,1,feb,483,2,-1,0,unknown,1,1
48,blue-collar,married,secondary,no,1738,yes,no,cellular,15,apr,349,1,-1,0,unknown,0,1
50,unemployed,married,primary,no,705,no,no,unknown,5,jun,504,1,-1,0,unknown,1,1
37,services,married,secondary,no,321,yes,no,cellular,11,may,222,2,300,2,failure,0,1
43,unemployed,divorced,secondary,no,4094,yes,no,cellular,21,nov,63,1,-1,0,unknown,0,1
30,management,married,tertiary,no,1185,yes,no,cellular,18,nov,342,2,120,4,failure,0,1
35,blue-collar,divorced,primary,no,0,no,no,unknown,1,jul,55,1,-1,0,unknown,0,1
49,admin.,married,secondary,no,635,no,no,telephone,22,jul,400,8,-1,0,unknown,0,1
46,entrepreneur,married,secondary,no,118,yes,no,cellular,9,jul,296,1,-1,0,unknown,0,1
26,blue-collar,married,primary,no,40,no,yes,cellular,28,jul,49,3,-1,0,unknown,0,1
57,retired,married,tertiary,no,29,no,no,telephone,10,jul,532,2,-1,0,unknown,0,1
40,management,single,tertiary,no,-275,yes,no,unknown,8,may,219,2,-1,0,unknown,0,1
46,admin.,married,unknown,no,2033,no,no,cellular,24,feb,99,2,86,5,failure,0,1
38,technician,single,tertiary,no,-256,yes,no,unknown,9,may,116,1,-1,0,unknown,0,1
47,technician,married,secondary,no,3478,no,no,unknown,18,jun,13,11,-1,0,unknown,0,1
36,entrepreneur,married,secondary,no,660,yes,yes,cellular,17,apr,430,1,-1,0,unknown,0,1
37,admin.,married,secondary,no,0,yes,no,cellular,22,jul,185,1,-1,0,unknown,0,1
50,blue-collar,married,secondary,no,2013,no,yes,cellular,22,jul,226,1,-1,0,unknown,0,1
49,self-employed,married,tertiary,no,206,yes,no,unknown,23,jul,108,2,-1,0,unknown,0,1
41,technician,married,secondary,no,2185,yes,no,cellular,7,apr,157,4,309,4,other,0,1
41,management,single,tertiary,no,1253,no,no,cellular,21,jul,1134,5,-1,0,unknown,1,1
28,admin.,married,secondary,no,642,yes,no,cellular,3,feb,481,2,-1,0,unknown,0,1
56,technician,married,tertiary,no,655,yes,yes,cellular,8,apr,326,1,-1,0,unknown,0,1
42,technician,divorced,secondary,no,214,no,no,cellular,16,apr,127,1,-1,0,unknown,1,1
45,blue-collar,married,secondary,no,1583,yes,no,cellular,7,aug,84,7,-1,0,unknown,0,1
37,management,married,tertiary,no,50,no,yes,cellular,17,jul,105,1,-1,0,unknown,0,1
38,technician,married,secondary,no,183,yes,no,cellular,16,apr,256,3,339,2,failure,0,1
37,admin.,married,secondary,no,36,yes,no,unknown,13,may,428,1,-1,0,unknown,0,1
33,technician,married,secondary,no,359,yes,no,cellular,20,apr,210,1,242,1,other,0,1
48,blue-collar,married,primary,no,147,no,no,cellular,19,aug,158,8,-1,0,unknown,0,1
54,admin.,married,secondary,no,222,yes,no,unknown,9,may,45,2,-1,0,unknown,0,1
42,services,married,secondary,no,737,yes,no,unknown,14,may,762,2,-1,0,unknown,0,1
28,blue-collar,married,secondary,no,781,yes,no,unknown,27,may,749,2,-1,0,unknown,0,1
34,blue-collar,single,primary,no,505,yes,no,unknown,13,may,351,1,-1,0,unknown,0,1
60,retired,married,secondary,no,-208,yes,no,unknown,15,may,104,1,-1,0,unknown,0,1
48,blue-collar,married,secondary,no,426,yes,yes,cellular,12,aug,186,2,-1,0,unknown,0,1
55,management,married,tertiary,no,5804,no,no,unknown,24,jun,56,3,-1,0,unknown,0,1
33,technician,single,secondary,no,0,yes,yes,cellular,9,feb,47,2,12,4,other,0,1
53,management,married,secondary,no,90,yes,no,telephone,20,apr,67,5,-1,0,unknown,0,1
32,blue-collar,married,secondary,no,2549,yes,no,unknown,23,may,246,3,-1,0,unknown,0,1
37,management,married,tertiary,no,5106,no,no,cellular,30,apr,244,1,-1,0,unknown,1,1
29,services,single,tertiary,no,737,yes,yes,cellular,30,jan,499,5,248,1,failure,0,1
31,blue-collar,single,secondary,no,178,yes,no,cellular,15,may,415,1,360,5,failure,0,1
47,technician,married,secondary,no,0,no,no,unknown,11,nov,74,1,-1,0,unknown,0,1
30,services,married,secondary,no,1399,no,no,cellular,28,jul,168,6,-1,0,unknown,0,1
39,housemaid,married,secondary,no,1372,yes,yes,cellular,5,may,206,1,355,1,failure,0,1
48,admin.,married,secondary,no,-582,yes,no,cellular,5,may,325,2,-1,0,unknown,0,1
78,retired,married,tertiary,no,226,no,no,telephone,6,nov,136,1,-1,0,unknown,0,1
33,management,single,tertiary,no,0,no,no,cellular,11,aug,699,7,-1,0,unknown,1,1
34,services,married,secondary,no,-102,yes,no,cellular,18,jul,185,1,-1,0,unknown,0,1
61,housemaid,married,primary,no,2580,no,no,cellular,16,sep,270,3,202,7,other,1,1
34,technician,divorced,secondary,no,17,yes,no,cellular,18,may,375,3,-1,0,unknown,0,1
50,management,married,tertiary,no,0,no,no,unknown,11,jun,916,1,-1,0,unknown,0,1
51,blue-collar,married,secondary,no,3370,yes,no,cellular,11,may,59,1,-1,0,unknown,0,1
30,admin.,married,secondary,yes,-938,yes,no,unknown,3,jun,438,1,-1,0,unknown,0,1
36,technician,single,secondary,no,333,no,no,cellular,7,aug,44,2,-1,0,unknown,0,1
21,services,single,secondary,no,3033,yes,no,cellular,6,may,347,1,-1,0,unknown,0,1
43,self-employed,married,secondary,no,5317,no,no,cellular,31,jul,244,2,-1,0,unknown,0,1
53,housemaid,married,primary,no,1869,no,no,cellular,11,aug,102,4,-1,0,unknown,0,1
36,services,married,secondary,no,338,no,no,unknown,14,may,90,1,-1,0,unknown,0,1
31,technician,divorced,secondary,no,646,yes,no,unknown,30,may,294,3,-1,0,unknown,0,1
26,services,single,secondary,no,397,no,no,cellular,29,jan,268,1,-1,0,unknown,0,1
29,admin.,divorced,secondary,no,-254,yes,no,cellular,14,may,406,2,-1,0,unknown,1,1
37,management,married,tertiary,no,1125,yes,no,unknown,3,jun,301,1,-1,0,unknown,0,1
59,management,married,tertiary,no,3421,no,no,cellular,4,may,121,5,-1,0,unknown,0,1
32,admin.,married,secondary,no,342,no,no,cellular,29,jan,179,1,-1,0,unknown,0,1
36,blue-collar,single,secondary,no,2596,no,no,unknown,18,jun,60,6,-1,0,unknown,0,1
59,technician,married,secondary,no,2308,no,no,cellular,30,apr,815,1,87,1,other,1,1
44,self-employed,married,primary,no,4,no,no,cellular,12,aug,327,2,-1,0,unknown,0,1
60,retired,married,secondary,no,18967,yes,no,cellular,29,jan,177,2,-1,0,unknown,1,1
70,retired,married,secondary,no,6422,no,no,cellular,10,mar,122,1,-1,0,unknown,1,1
51,admin.,married,secondary,no,-895,yes,no,cellular,20,apr,104,5,-1,0,unknown,0,1
58,admin.,married,secondary,no,169,no,no,cellular,13,may,336,3,87,5,success,1,1
29,management,single,tertiary,no,536,no,no,cellular,29,jan,418,2,-1,0,unknown,0,1
28,technician,single,secondary,no,1,yes,no,unknown,29,may,364,3,-1,0,unknown,0,1
24,admin.,single,secondary,no,507,yes,no,unknown,13,may,210,3,-1,0,unknown,0,1
32,blue-collar,married,primary,no,-89,yes,no,unknown,9,may,389,2,-1,0,unknown,0,1
60,admin.,married,secondary,no,-396,yes,no,cellular,11,may,443,1,350,1,failure,0,1
48,blue-collar,married,primary,no,134,yes,no,unknown,28,may,315,2,-1,0,unknown,0,1
24,services,single,secondary,no,11,yes,no,unknown,27,jun,114,4,-1,0,unknown,0,1
35,blue-collar,single,primary,no,227,no,yes,unknown,5,jun,414,1,-1,0,unknown,0,1
55,technician,single,unknown,no,776,no,no,unknown,9,jun,67,1,-1,0,unknown,0,1
46,blue-collar,married,secondary,no,442,yes,no,unknown,7,may,105,2,-1,0,unknown,0,1
49,management,married,tertiary,no,1216,yes,yes,unknown,30,may,244,2,-1,0,unknown,0,1
58,retired,married,secondary,no,8332,no,no,unknown,17,nov,164,2,96,4,failure,0,1
35,blue-collar,married,primary,no,1383,yes,no,unknown,27,may,269,2,-1,0,unknown,0,1
